"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Average Family Income"
"Oakwood Village",107.0,"N/A",21210.0,67809.0
"Briar Hill-Belgravia",108.0,"N/A",14257.0,67358.0
"Caledonia-Fairbank",109.0,"N/A",9955.0,66257.0
"Keelesdale-Eglinton West",110.0,"N/A",11058.0,64857.0
"Rockcliffe-Smythe",111.0,"N/A",22246.0,64271.0
"Beechborough-Greenbrook",112.0,"N/A",6577.0,58706.0
"Weston",113.0,"N/A",17992.0,61470.0
"Lambton Baby Point",114.0,"N/A",7985.0,122277.0
"Mount Dennis",115.0,"N/A",13593.0,57386.0
"Steeles",116.0,"N/A",24623.0,67732.0
"L'Amoreaux",117.0,"N/A",43993.0,64493.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27446.0,64630.0
"Wexford/Maryvale",119.0,"N/A",27917.0,69418.0
"Clairlea-Birchmount",120.0,"N/A",26984.0,69549.0
"Oakridge",121.0,"N/A",13845.0,50793.0
"Birchcliffe-Cliffside",122.0,"N/A",22291.0,90256.0
"Cliffcrest",123.0,"N/A",15935.0,83694.0
"Kennedy Park",124.0,"N/A",17123.0,58513.0
"Ionview",125.0,"N/A",13641.0,57069.0
"Dorset Park",126.0,"N/A",25003.0,60973.0
"Bendale",127.0,"N/A",29960.0,65560.0
"Agincourt South-Malvern West",128.0,"N/A",23757.0,68465.0
"Agincourt North",129.0,"N/A",29113.0,67622.0
"Milliken",130.0,"N/A",26572.0,66372.0
"Rouge",131.0,"N/A",46496.0,86997.0
"Malvern",132.0,"N/A",43794.0,64497.0
"Centennial Scarborough",133.0,"N/A",13362.0,102278.0
"Highland Creek",134.0,"N/A",12494.0,98857.0
"Morningside",135.0,"N/A",17455.0,66024.0
"West Hill",136.0,"N/A",27392.0,65871.0
"Woburn",137.0,"N/A",53485.0,63186.0
"Eglinton East",138.0,"N/A",22776.0,57357.0
"Scarborough Village",139.0,"N/A",16724.0,61631.0
"Guildwood",140.0,"N/A",9917.0,92858.0
